match_number,winner,team1,team2,toss_winner,toss_decision,venue,city,team1_win_pct,team2_win_pct,team1_h2h_win_pct,team1_prev_score,team1_prev_wkts,team2_prev_score,team2_prev_wkts,team1_avg_recent_bat_sr,team1_avg_recent_bowl_econ,team2_avg_recent_bat_sr,team2_avg_recent_bowl_econ
1181767,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,0.4418604651162791,0.6149068322981367,0.3,121,5,170,5,128.5724669283326,7.621505376344086,132.61183796004596,7.618395785119898
1181768,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Rajiv Gandhi International Stadium,Hyderabad,0.5760869565217391,0.6172839506172839,0.5925925925925926,134,1,131,4,132.57058497877838,7.613768790089605,132.0821444359603,7.747424823317474
1216492,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Sheikh Zayed Stadium,Abu Dhabi,0.5783783783783784,0.6134969325153374,0.6071428571428571,132,4,151,4,134.2255439784986,7.77244338700769,134.2255439784986,7.77244338700769
1216534,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,Unknown,0.4742857142857143,0.5377358490566038,0.46153846153846156,171,7,175,7,132.94085281980742,7.7966309878926126,128.27472606173458,7.6131518917643355
1216496,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,Unknown,0.5140845070422535,0.6158536585365854,0.3333333333333333,161,3,148,7,127.22182340272792,7.805084745762712,132.2313381562462,7.917750346557528
1216508,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Sheikh Zayed Stadium,Abu Dhabi,0.5752688172043011,0.5257142857142857,0.76,149,8,185,3,132.37412967360245,7.940009168904315,135.74168797953965,7.640175907020574
1216510,Punjab Kings,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dubai International Cricket Stadium,Unknown,0.45977011494252873,0.4772727272727273,0.5,150,5,178,6,133.17293233082708,7.813643574828133,134.8391555667253,7.614598756292567
1216539,Delhi Capitals,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Dubai International Cricket Stadium,Unknown,0.4393063583815029,0.6121212121212121,0.2857142857142857,150,5,166,5,133.42522911854556,7.80056681011861,131.14165603892116,7.9402738821976575
1216545,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5327102803738317,0.5227272727272727,0.4117647058823529,162,8,133,7,134.60481957797478,7.634602685450143,136.2715902322811,7.903732303732304
1216527,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Sharjah Cricket Stadium,Unknown,0.46285714285714286,0.5174825174825175,0.4444444444444444,173,4,115,9,136.61229792147807,7.957803288861309,130.99431684749425,7.94761826812899
